image_path,category,split
images\Casual_Shoes_0028.jpg,Casual Shoes,test
images\Casual_Shoes_0029.jpg,Casual Shoes,test
images\Sports_Shoes_0000.jpg,Sports Shoes,train
images\Sports_Shoes_0001.jpg,Sports Shoes,train
images\Sports_Shoes_0002.jpg,Sports Shoes,train
images\Sports_Shoes_0003.jpg,Sports Shoes,train
images\Sports_Shoes_0004.jpg,Sports Shoes,train
images\Sports_Shoes_0005.jpg,Sports Shoes,train
images\Sports_Shoes_0006.jpg,Sports Shoes,train
images\Sports_Shoes_0007.jpg,Sports Shoes,train
images\Sports_Shoes_0008.jpg,Sports Shoes,train
images\Sports_Shoes_0009.jpg,Sports Shoes,train
images\Sports_Shoes_0010.jpg,Sports Shoes,train
images\Sports_Shoes_0011.jpg,Sports Shoes,train
images\Sports_Shoes_0012.jpg,Sports Shoes,train
images\Sports_Shoes_0013.jpg,Sports Shoes,train
images\Sports_Shoes_0014.jpg,Sports Shoes,train
images\Sports_Shoes_0015.jpg,Sports Shoes,train
images\Sports_Shoes_0016.jpg,Sports Shoes,train
images\Sports_Shoes_0017.jpg,Sports Shoes,train
images\Sports_Shoes_0018.jpg,Sports Shoes,train
images\Sports_Shoes_0019.jpg,Sports Shoes,train
images\Sports_Shoes_0020.jpg,Sports Shoes,train
images\Sports_Shoes_0021.jpg,Sports Shoes,val
images\Sports_Shoes_0022.jpg,Sports Shoes,val
images\Sports_Shoes_0023.jpg,Sports Shoes,val
images\Sports_Shoes_0024.jpg,Sports Shoes,val
images\Sports_Shoes_0025.jpg,Sports Shoes,test
images\Sports_Shoes_0026.jpg,Sports Shoes,test
images\Sports_Shoes_0027.jpg,Sports Shoes,test
images\Sports_Shoes_0028.jpg,Sports Shoes,test
images\Sports_Shoes_0029.jpg,Sports Shoes,test
images\Dresses_0000.jpg,Dresses,train
images\Dresses_0001.jpg,Dresses,train
images\Dresses_0002.jpg,Dresses,train
images\Dresses_0003.jpg,Dresses,train
images\Dresses_0004.jpg,Dresses,train
images\Dresses_0005.jpg,Dresses,train
images\Dresses_0006.jpg,Dresses,train
images\Dresses_0007.jpg,Dresses,train
images\Dresses_0008.jpg,Dresses,train
images\Dresses_0009.jpg,Dresses,train
images\Dresses_0010.jpg,Dresses,train
images\Dresses_0011.jpg,Dresses,train
images\Dresses_0012.jpg,Dresses,train
images\Dresses_0013.jpg,Dresses,train
images\Dresses_0014.jpg,Dresses,train
images\Dresses_0015.jpg,Dresses,train
images\Dresses_0016.jpg,Dresses,train
images\Dresses_0017.jpg,Dresses,train
images\Dresses_0018.jpg,Dresses,train
images\Dresses_0019.jpg,Dresses,train
images\Dresses_0020.jpg,Dresses,train
images\Dresses_0021.jpg,Dresses,val
images\Dresses_0022.jpg,Dresses,val
images\Dresses_0023.jpg,Dresses,val
images\Dresses_0024.jpg,Dresses,val
images\Dresses_0025.jpg,Dresses,test
images\Dresses_0026.jpg,Dresses,test
images\Dresses_0027.jpg,Dresses,test
images\Dresses_0028.jpg,Dresses,test
images\Dresses_0029.jpg,Dresses,test
images\Handbags_0000.jpg,Handbags,train
images\Handbags_0001.jpg,Handbags,train
images\Handbags_0002.jpg,Handbags,train
images\Handbags_0003.jpg,Handbags,train
images\Handbags_0004.jpg,Handbags,train
images\Handbags_0005.jpg,Handbags,train
images\Handbags_0006.jpg,Handbags,train
images\Handbags_0007.jpg,Handbags,train
images\Handbags_0008.jpg,Handbags,train
images\Handbags_0009.jpg,Handbags,train
images\Handbags_0010.jpg,Handbags,train
images\Handbags_0011.jpg,Handbags,train
images\Handbags_0012.jpg,Handbags,train
images\Handbags_0013.jpg,Handbags,train
images\Handbags_0014.jpg,Handbags,train
images\Handbags_0015.jpg,Handbags,train
images\Handbags_0016.jpg,Handbags,train
images\Handbags_0017.jpg,Handbags,train
images\Handbags_0018.jpg,Handbags,train
images\Handbags_0019.jpg,Handbags,train
images\Handbags_0020.jpg,Handbags,train
images\Handbags_0021.jpg,Handbags,val
images\Handbags_0022.jpg,Handbags,val
images\Handbags_0023.jpg,Handbags,val
images\Handbags_0024.jpg,Handbags,val
images\Handbags_0025.jpg,Handbags,test
images\Handbags_0026.jpg,Handbags,test
images\Handbags_0027.jpg,Handbags,test
images\Handbags_0028.jpg,Handbags,test
images\Handbags_0029.jpg,Handbags,test
