id,image_filename,image_path,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,split
11471,11471.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\11471.jpg,Women,Apparel,Topwear,Tops,Brown,Fall,2011.0,Casual,United Colors of Benetton Women Light Winter Brown Tops,query
40935,40935.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\40935.jpg,Girls,Apparel,Topwear,Tops,White,Summer,2012.0,Casual,Gini and Jony Girls Core White Top,query
22177,22177.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\22177.jpg,Men,Footwear,Shoes,Casual Shoes,Tan,Fall,2012.0,Casual,Timberland Men Tan Casual Shoes,query
42845,42845.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\42845.jpg,Women,Accessories,Bags,Handbags,Brown,Summer,2012.0,Casual,French Connection Women Light Brown Handbag,query
42533,42533.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\42533.jpg,Women,Apparel,Topwear,Kurtas,Blue,Fall,2012.0,Ethnic,Mother Earth Women Blue Printed Kurta,query
28406,28406.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\28406.jpg,Men,Accessories,Eyewear,Sunglasses,Brown,Winter,2016.0,Casual,Idee Men Brown Sunglasses,query
24923,24923.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\24923.jpg,Women,Apparel,Topwear,Tops,Pink,Summer,2012.0,Casual,United Colors of Benetton Women Pink Top,query
39662,39662.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\39662.jpg,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Lotto Men White Sports Shoes,query
54578,54578.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\54578.jpg,Women,Apparel,Topwear,Kurtas,Black,Summer,2012.0,Ethnic,Sushilas Women Printed Black Kurta,query
37291,37291.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\37291.jpg,Women,Accessories,Watches,Watches,Pink,Winter,2016.0,Casual,CASIO ENTICER Women Pink Dial Analogue Watch A444 ,query
14547,14547.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\14547.jpg,Women,Apparel,Topwear,Kurtas,Maroon,Fall,2011.0,Ethnic,Vishudh Women Floral Print Maroon Kurtas,query
15190,15190.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\15190.jpg,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Arrow Sport Men Solid Navy Blue Polo Tshirts,query
10154,10154.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\10154.jpg,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011.0,Casual,Rockport Men Bal Brown Casual Shoes,query
34889,34889.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\34889.jpg,Women,Accessories,Bags,Handbags,Pink,Summer,2012.0,Casual,Envirosax Women Pink Bag,query
26683,26683.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\26683.jpg,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Puma Men Silly Point White Sports Shoes,query
37544,37544.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\37544.jpg,Boys,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Madagascar3 Infant Boys Light Blue T-Shirt,query
28343,28343.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\28343.jpg,Men,Accessories,Eyewear,Sunglasses,Metallic,Winter,2016.0,Casual,Idee Men Metallic Sunglasses,query
16854,16854.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\16854.jpg,Men,Accessories,Eyewear,Sunglasses,Green,Winter,2016.0,Casual,Idee Men Funky Eyewear Green Sunglasses,query
19609,19609.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\19609.jpg,Women,Apparel,Topwear,Tops,Purple,Summer,2011.0,Casual,United Colors of Benetton Women Purple Top,query
54695,54695.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\54695.jpg,Women,Apparel,Topwear,Kurtas,Pink,Fall,2012.0,Ethnic,Shree Women Pink Printed Kurta,query
3943,3943.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\3943.jpg,Women,Apparel,Topwear,Tshirts,Maroon,Summer,2011.0,Casual,Jealous 21 Women's Maroon T-shirt,query
21557,21557.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\21557.jpg,Women,Accessories,Bags,Handbags,Purple,Winter,2015.0,Casual,Kiara Women Classic Purple Handbag,query
29750,29750.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\29750.jpg,Men,Accessories,Watches,Watches,Blue,Winter,2016.0,Casual,Fossil Men Quartz Blue Dial Chronograph Watch FS4609,query
11008,11008.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\11008.jpg,Women,Apparel,Topwear,Tshirts,Cream,Fall,2011.0,Casual,Inkfruit Women Behind Cream Tshirts,query
5094,5094.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\5094.jpg,Men,Apparel,Topwear,Tshirts,Brown,Summer,2011.0,Casual,Wrangler Men's Reverse Print Brown T-shirt,query
15880,15880.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\15880.jpg,Unisex,Footwear,Sandal,Sandals,Navy Blue,Spring,2013.0,Casual,Warner Bros Kids Unisex TJ Jerry  Navy Blue Sandals,query
52660,52660.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\52660.jpg,Women,Accessories,Bags,Handbags,Pink,Summer,2012.0,Casual,Mod'acc Women Pink & Beige Handbag,query
58700,58700.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\58700.jpg,Women,Apparel,Topwear,Kurtas,White,Summer,2012.0,Ethnic,ALayna Women Black Kurta,query
25564,25564.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\25564.jpg,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Fila Men Swift White Sports Shoes,query
58531,58531.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\58531.jpg,Unisex,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Miami Blues Unisex Sunglasses,query
7164,7164.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\7164.jpg,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Scullers Men Black & Red Check Shirt,query
24717,24717.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\24717.jpg,Men,Footwear,Shoes,Casual Shoes,Charcoal,Fall,2011.0,Casual,Skechers Men Heisman Charcoal Casual Shoes,query
36737,36737.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\36737.jpg,Women,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,Spykar Women Cult Green T-shirt,query
36590,36590.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\36590.jpg,Men,Apparel,Topwear,Shirts,Red,Summer,2012.0,Casual,Provogue Men Eternity Red Shirt,query
43672,43672.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\43672.jpg,Women,Apparel,Dress,Dresses,Peach,Summer,2012.0,Casual,ONLY Women Peach Dress,query
43485,43485.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\43485.jpg,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Casual,French Connection Men Navy Blue Shirt,query
23698,23698.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\23698.jpg,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Ray-Ban Men Predator Sunglasses,query
8752,8752.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\8752.jpg,Unisex,Footwear,Sandal,Sandals,Purple,Fall,2015.0,Casual,Crocs Kids Band Club Purple Floater,query
7415,7415.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\7415.jpg,Women,Apparel,Topwear,Kurtas,Black,Summer,2011.0,Ethnic,W Women Sqaure Neck Yarn Dyed Short Sleeve Black Kurta,query
53887,53887.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\53887.jpg,Women,Accessories,Bags,Handbags,Pink,Summer,2012.0,Casual,Kiara Women Pink Handbag,query
43302,43302.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\43302.jpg,Women,Apparel,Dress,Dresses,Purple,Summer,2012.0,Casual,United Colors of Benetton Women Purple Dress,query
59967,59967.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\59967.jpg,Women,Apparel,Dress,Dresses,Black,Fall,2012.0,Party,Avirate Women Black Dress,query
39718,39718.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\39718.jpg,Women,Apparel,Topwear,Tops,Beige,Summer,2012.0,Casual,Arrow Woman Beige Top,query
49516,49516.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\49516.jpg,Men,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Police Men Sliver-Toned Dial Watch PL12897JS-04M,query
38208,38208.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\38208.jpg,Women,Accessories,Eyewear,Sunglasses,Grey,Winter,2016.0,Casual,Polaroid Women Sunglasses,query
44539,44539.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\44539.jpg,Men,Footwear,Sandal,Sandals,Black,Summer,2012.0,Casual,Coolers Men Black Sandals,query
10105,10105.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\10105.jpg,Women,Accessories,Watches,Watches,Steel,Winter,2016.0,Casual,Fastrack Women Analogue Leather Steel Watches,query
15259,15259.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\15259.jpg,Women,Footwear,Shoes,Casual Shoes,White,Fall,2011.0,Casual,ADIDAS Originals Women Top Ten low Sleek White Casual Shoes,query
13328,13328.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\13328.jpg,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,Gini and Jony Kids Boys Printed Green Tshirts,query
8690,8690.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\8690.jpg,Unisex,Accessories,Eyewear,Sunglasses,Brown,Winter,2016.0,Casual,Fastrack Unisex Sunglasses P089BR2,query
39746,39746.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\39746.jpg,Girls,Apparel,Topwear,Tops,Black,Summer,2012.0,Casual,Gini Jony Girls Black Top,query
20886,20886.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\20886.jpg,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011.0,Sports,Reebok Men Speed mode Running Black Shoes,query
46530,46530.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\46530.jpg,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Timex Women Silver-Toned Dial Watch T2N148,query
39157,39157.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\39157.jpg,Women,Apparel,Topwear,Kurtas,Black,Summer,2012.0,Ethnic,Aneri Women Black Kurta,query
53307,53307.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\53307.jpg,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Locomotive Men White T-shirt,query
12371,12371.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\12371.jpg,Men,Apparel,Topwear,Shirts,Grey,Fall,2011.0,Formal,Reid & Taylor Men Check Grey Shirts,query
24395,24395.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\24395.jpg,Women,Apparel,Topwear,Kurtas,Blue,Summer,2012.0,Ethnic,Vishudh Women Blue Printed Kurta,query
25415,25415.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\25415.jpg,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Nike Men Air Impetus White Sports Shoes,query
23627,23627.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\23627.jpg,Men,Apparel,Topwear,Tshirts,White,Spring,2013.0,Casual,Beatles Men White Printed T-Shirt,query
47009,47009.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\47009.jpg,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012.0,Ethnic,Shree Women Brown Kurta,query
18274,18274.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\18274.jpg,Women,Apparel,Topwear,Kurtas,Purple,Fall,2011.0,Ethnic,Aneri Women Niti Purple Kurta,query
19369,19369.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\19369.jpg,Men,Footwear,Shoes,Casual Shoes,Blue,Winter,2018.0,Casual,Redtape Men Stone Wall Blue Casual Shoes,query
9616,9616.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\9616.jpg,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,Indigo Nation Men Checks Black White Shirts,query
15494,15494.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\15494.jpg,Women,Footwear,Shoes,Casual Shoes,Maroon,Spring,2013.0,Casual,Carlton London Women Casual Maroon Casual Shoes,query
9210,9210.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\9210.jpg,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,Puma Men Calibre Tricks Convert Spike White Shoes,query
33430,33430.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\33430.jpg,Women,Accessories,Bags,Handbags,Blue,Summer,2012.0,Casual,Baggit Women Pinto Checksy Blue Sling Bag,query
39217,39217.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\39217.jpg,Women,Apparel,Dress,Dresses,Red,Summer,2012.0,Casual,Femella Women Floral Red Dress,query
21330,21330.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\21330.jpg,Men,Accessories,Eyewear,Sunglasses,Gold,Winter,2016.0,Casual,Louis Philippe Men Gold Frame Sunglasses,query
15220,15220.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\15220.jpg,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011.0,Casual,ADIDAS Originals Men Adi T Tennis Brown Casual Shoes,query
21484,21484.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\21484.jpg,Women,Accessories,Bags,Handbags,Grey,Winter,2015.0,Casual,Kiara Women Grey Shiny Handbag,query
16810,16810.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\16810.jpg,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Casual,Locomotive Men Check Purple Shirt,query
59972,59972.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\59972.jpg,Women,Apparel,Dress,Dresses,Black,Fall,2012.0,Party,Avirate Black Dress,query
15104,15104.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\15104.jpg,Women,Apparel,Topwear,Kurtas,Black,Fall,2011.0,Ethnic,Mother Earth Women Printed Black Kurtas,query
22384,22384.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\22384.jpg,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Mark Taylor Men Black & Blue Striped White Shirt,query
28174,28174.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\28174.jpg,Men,Accessories,Eyewear,Sunglasses,Bronze,Winter,2016.0,Casual,Ray-Ban Men Aviator Bronze Sunglasses,query
9108,9108.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\9108.jpg,Women,Footwear,Shoes,Sports Shoes,Black,Fall,2011.0,Sports,Puma Women Axis XT Black Sports Shoes,query
2697,2697.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\2697.jpg,Girls,Apparel,Dress,Dresses,Blue,Summer,2011.0,Casual,Disney Kids Girl's Blue Pooh Kidswear,query
22542,22542.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\22542.jpg,Men,Footwear,Shoes,Sports Shoes,White,Fall,2009.0,Sports,Lotto  Kids-Boy Jumper  White Sports Shoes,query
48450,48450.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\48450.jpg,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,French Connection Men Grey T-shirt,query
39683,39683.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\39683.jpg,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Lotto Men White Sports Shoe,query
38847,38847.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\38847.jpg,Women,Apparel,Dress,Dresses,White,Summer,2012.0,Casual,Latin Quarters Women White & Blue Printed Dress,query
10818,10818.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\10818.jpg,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Wrangler Men Urban Raiser Red Shirts,query
54627,54627.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\54627.jpg,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Fastrack Men Black Dial Watch,query
25171,25171.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\25171.jpg,Women,Accessories,Bags,Handbags,Brown,Winter,2015.0,Casual,Lino Perros Women Black & Brown Handbag,query
9109,9109.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\9109.jpg,Unisex,Footwear,Shoes,Sports Shoes,Black,Summer,2012.0,Sports,Puma Unisex Faas 300 Black Sports Shoes,query
59938,59938.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\59938.jpg,Men,Footwear,Shoes,Casual Shoes,Black,Spring,2013.0,Casual,Vans Men Black Casual Shoes,query
11001,11001.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\11001.jpg,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Sports,Puma Men Top Fluctuation Red Black Watches,query
6408,6408.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\6408.jpg,Men,Footwear,Sandal,Sandals,Beige,Summer,2011.0,Casual,Lotto Men Cross Beige Floater,query
20567,20567.jpg,F:\CEI\Celebal_Excellence_Internship\fashion-visual-search\data\subset\images\20567.jpg,Women,Accessories,Bags,Handbags,Gold,Winter,2015.0,Casual,Baggit Women Barbiex Avni Gold Handbag,query
